ECID,Description,Min Value,Max Value,Default,Unit,Result
17302467, RC3AutoLinePurgeRcpExeTimng,0,999999999,0,[ no unit ] ,Pass
17302468, RC4AutoLinePurgeRcpExeTimng,0,999999999,0,[ no unit ] ,Pass
17431473, RC1AutoPurgeWarnAt,0,999999999,0,[ no unit ] ,Pass
17431474, RC2AutoPurgeWarnAt,0,999999999,0,[ no unit ] ,Pass
17431475, RC3AutoPurgeWarnAt,0,999999999,0,[ no unit ] ,Pass
17431476, RC4AutoPurgeWarnAt,0,999999999,0,[ no unit ] ,Pass
17431489, RC1AutoDummyTriggerType,0,3,0,[ no unit ] ,Pass
17431490, RC2AutoDummyTriggerType,0,3,0,[ no unit ] ,Pass
17431491, RC3AutoDummyTriggerType,0,3,0,[ no unit ] ,Pass
17431492, RC4AutoDummyTriggerType,0,3,0,[ no unit ] ,Pass
17431505, RC1AutoDummyRecipe,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431506, RC2AutoDummyRecipe,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431507, RC3AutoDummyRecipe,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431508, RC4AutoDummyRecipe,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431521, RC1AutoDummyCountPro,0,3,0,[ no unit ] ,Pass
17431522, RC2AutoDummyCountPro,0,3,0,[ no unit ] ,Pass
17431523, RC3AutoDummyCountPro,0,3,0,[ no unit ] ,Pass
17431524, RC4AutoDummyCountPro,0,3,0,[ no unit ] ,Pass
17431537, RC1AutoDummyTotalCount,0,999999999,0,[ no unit ] ,Pass
17431538, RC2AutoDummyTotalCount,0,999999999,0,[ no unit ] ,Pass
17431539, RC3AutoDummyTotalCount,0,999999999,0,[ no unit ] ,Pass
